產業分類,個股代碼名稱,產業定位,公司業務說明,在該產業的地位與優勢
ABF載板/IC載板,欣興 (3037),龍頭,全球ABF載板龍頭，市占率全球第一。主要產品為16層以上高階ABF載板，AI相關營收占比超過50%，為NVIDIA Blackwell平台全球第二大載板供應商。聯電集團企業。,技術領先，與上游材料商(味之素)及下游封測廠(日月光)合作緊密，高階ABF載板(16層以上)產品占比達60%，產能利用率滿載，訂單能見度延伸至2026年底。
ABF載板/IC載板,南電 (8046),前三大,台灣ABF載板產值亞軍，南亞集團企業。產品結構70%為BT載板與非長約ABF載板，ABF載板營收占比預估達55%，在800G交換器市場市占居高。,非長約比率高，最直接受益於此波ABF載板漲價循環。受惠AI伺服器與高階網通雙引擎拉動，2025年Q4 EPS達1.86元，獲利能力優於市場預期。外資目標價上看1050元。
ABF載板/IC載板,景碩 (3189),前三大,全球覆晶載板(FC-BGA)主要供應商，BT載板市占率全球最高之一，同時具備ABF載板生產能力，產品橫跨BT與ABF雙主線。,ABF三雄中唯一兼具BT+ABF雙產品線優勢，受惠記憶體需求與AI伺服器需求雙重拉動。2026年被視為獲利大躍進年，分析師普遍調升全年EPS預估。
ABF載板/IC載板,臻鼎-KY (4958),多元化PCB廠,全球PCB龍頭廠，產品線涵蓋HDI、軟板、硬板、載板等，近年積極布局高階載板市場，受惠於AI基礎設施需求成長。,規模優勢顯著，產品組合多元分散風險，在高階HDI與SLP(類載板)領域具備競爭力，客戶涵蓋蘋果等國際一線大廠。
ABF載板/IC載板,金像電 (2368),中小型廠,IC載板專業廠，主要產品為測試用IC載板與封裝用載板，應用於記憶體、邏輯IC等領域。,在記憶體測試載板市場具有一定地位，受惠於DDR5與HBM記憶體測試需求增加。
ABF載板/IC載板,楠梓電 (2316),中小型廠,IC載板與PCB製造商，產品包含FC-BGA載板、測試載板等，應用於通訊、消費性電子等領域。,在中階載板市場耕耘多年，具備穩定客戶基礎，受惠於整體載板需求回溫。
ABF載板/IC載板,定穎 (6251),中小型廠,HDI與載板製造商，主要產品為高階HDI板與IC載板，應用於智慧型手機、伺服器等領域。,在高階HDI與載板領域具備技術能力，受惠於AI伺服器與高階手機需求。
ABF載板/IC載板,志超 (8213),中小型廠,IC載板廠，主要產品為覆晶載板(FC-BGA)，應用於PC、網通、消費性電子等領域。,在中階FC-BGA載板市場有穩定出貨，受惠於PC與網通市場復甦。
ABF載板/IC載板,台光電 (2383),上游材料,銅箔基板(CCL)龍頭廠，為ABF載板上游關鍵材料供應商，產品應用於高階伺服器、AI運算等領域。,AI基板最大材料供應商，在前期推廣階段為主要選擇，降低量產風險。受惠於市場規模提升而營運持續成長，外資持續看好。
ABF載板/IC載板,聯茂 (6213),上游材料,高階CCL銅箔基板廠，產品應用於伺服器、網通、5G等高頻高速領域，為載板產業鏈上游關鍵供應商。,在高階CCL市場技術領先，受惠於AI伺服器與次世代HPC應用需求，營運周期重啟，2026年展望樂觀。股價表現強勁。
ABF載板/IC載板,台燿 (6274),上游材料,高階CCL銅箔基板廠，專注於高頻高速材料，產品應用於伺服器、網通等領域。,在高階CCL市場具競爭力，受惠於AI與HPC需求，股價創新高表現亮眼。
ABF載板/IC載板,全新 (2455),設備/通路,光通訊與矽光子概念股，同時為PCB設備與材料通路商，受惠於載板產業擴產需求。,在載板設備與材料通路扮演重要角色，同時布局矽光子領域，雙引擎驅動成長。


產業分類,個股代碼名稱,產業定位,公司業務說明,在該產業的地位與優勢
AI半導體/晶圓代工,台積電 (2330),全球龍頭,全球晶圓代工龍頭，市占率達71%，穩居純晶圓代工霸主地位。提供3nm/5nm等最先進製程技術，為NVIDIA、AMD、Apple等國際大廠主要製造夥伴。,在AI晶片製造領域掌握關鍵技術優勢，3nm製程量產領先全球，CoWoS先進封裝產能持續擴充，2025年市占率從64.4%躍升至69.9%，訂單能見度延伸至2027年。
AI半導體/晶圓代工,聯電 (2303),全球第四大,全球第四大晶圓代工廠，市占率6.4%，專注於28nm以上成熟製程與特殊製程，應用於電源管理IC、驅動IC、射頻等領域。,在成熟製程領域具備完整產能布局，受惠於IoT、車用電子、工控等應用需求，成熟製程報價持續調漲，產能利用率維持高檔。
AI半導體/晶圓代工,世界 (5347),,,
AI半導體/晶圓代工,環球晶 (6488),全球第三大矽晶圓廠,全球第三大半導體矽晶圓供應商，產品涵蓋8吋、12吋晶圓，應用於邏輯IC、記憶體、功率元件等領域。,受惠於AI帶動晶圓需求成長，12吋晶圓長約簽訂比率高，價格具支撐力，為台積電、聯電等晶圓代工廠關鍵材料供應商。
AI半導體/晶圓代工,合晶 (6182),,,
AI半導體/晶圓代工,中砂 (1560),,,
AI半導體/晶圓代工,嘉晶 (3016),,,
AI半導體/晶圓代工,昇陽半 (8028),,,
AI半導體/晶圓代工,台勝科 (3532),,,
AI半導體/晶圓代工,漢磊 (3707),,,
AI半導體/晶圓代工,穩懋 (3105),,,
AI半導體/晶圓代工,宏捷科 (8086),,,
AI伺服器組裝ODM,鴻海 (2317),全球電子代工龍頭,全球最大電子製造服務商，業務涵蓋AI伺服器、iPhone組裝、電動車、半導體封測等多元領域。,為NVIDIA GB200伺服器主要組裝廠，在AI伺服器組裝市占率與廣達並列前二，同時布局電動車與半導體供應鏈，集團資源整合能力強。
AI伺服器組裝ODM,廣達 (2382),AI伺服器組裝龍頭,全球筆電代工龍頭，近年轉型為AI伺服器組裝主要廠商，為NVIDIA、Microsoft、Google等大廠供應商。,AI伺服器出貨量全球第一，在液冷散熱系統整合能力領先，受惠雲端大廠資本支出持續擴張，訂單能見度延伸至2027年。
AI伺服器組裝ODM,緯創 (3231),,,
AI伺服器組裝ODM,英業達 (2356),,,
AI伺服器組裝ODM,緯穎 (6669),AI伺服器專業廠,專注於高階伺服器設計製造，為Meta、Microsoft等超大規模資料中心主要供應商，AI伺服器營收占比超過80%。,在客製化AI伺服器設計能力最強，技術含量高，毛利率優於同業，受惠代理式AI(Agentic AI)推理伺服器需求成長。
AI伺服器組裝ODM,神達 (2315),,,
AI伺服器組裝ODM,仁寶 (2324),,,
AI伺服器組裝ODM,和碩 (4938),,,
AI伺服器組裝ODM,佳世達 (2352),,,
AI伺服器組裝ODM,勤誠 (8210),,,
AI伺服器組裝ODM,技嘉 (2376),,,
AI伺服器組裝ODM,華擎 (3515),,,

產業分類,個股代碼名稱,產業定位,公司業務說明,在該產業的地位與優勢
IC設計服務(IP/ASIC),世芯-KY (3661),ASIC設計龍頭,全球領先ASIC客製化晶片設計服務商，專注於高效能運算、網路通訊等領域，為雲端業者自研晶片主要合作夥伴。,受惠雲端大廠(Google、AWS等)自研ASIC晶片趨勢，在7nm/5nm先進製程ASIC設計領域技術領先，營收與獲利持續高速成長。
IC設計服務(IP/ASIC),創意 (3443),ASIC設計服務前三大,ASIC客製化晶片設計服務商，專注於先進製程設計，為台積電CoWoS先進封裝主要設計夥伴之一。,在先進製程ASIC設計領域與世芯並列龍頭，受惠AI ASIC訂單持續湧入，與台積電技術合作緊密。
IC設計服務(IP/ASIC),智原 (3035),ASIC與IP供應商,ASIC設計服務與矽智財(IP)授權廠商，產品應用於AI、5G、車用等領域。,提供完整ASIC設計服務與IP授權，受惠於成熟製程報價上漲與AI邊緣運算需求。
IC設計服務(IP/ASIC),力旺 (3529),,,
IC設計服務(IP/ASIC),晶心科 (6533),,,
IC設計服務(IP/ASIC),M31 (6643),,,
IC設計服務(IP/ASIC),愛普 (6531),,,
IC設計服務(IP/ASIC),安國 (8054),,,
IC設計服務(IP/ASIC),瑞昱 (2379),,,
IC設計服務(IP/ASIC),聯發科 (2454),台灣IC設計龍頭,全球IC設計巨頭，主要產品為手機晶片、WiFi/藍牙晶片、智慧電視晶片等，近年積極布局AI ASIC與邊緣AI市場。,全球智慧型手機晶片市占率與高通並列前二，天璣系列5G晶片在中高階市場表現強勁，2026年AI ASIC業務成為新成長引擎，股價從1430元漲至2400元以上。
IC設計服務(IP/ASIC),聯詠 (3034),,,
IC設計服務(IP/ASIC),譜瑞-KY (4966),,,

產業分類,個股代碼名稱,產業定位,公司業務說明,在該產業的地位與優勢
代理式AI(Agentic AI)應用,零壹 (3029),科技服務商,雲端服務與AI應用系統整合商，提供企業雲端遷移、AI模型部署等服務。,在企業AI應用落地服務領域具優勢，受惠代理式AI市場規模從2024年5.7億美元成長至2030年521億美元(CAGR 45%)。
