產業分類,序號,個股代碼名稱,產業定位,公司業務說明,在該產業的地位與優勢
ABF載板/IC載板,1,欣興 (3037),龍頭,全球ABF載板龍頭，市占率全球第一。主要產品為16層以上高階ABF載板，AI相關營收占比超過50%，為NVIDIA Blackwell平台全球第二大載板供應商。聯電集團企業。,技術領先，與上游材料商(味之素)及下游封測廠(日月光)合作緊密，高階ABF載板(16層以上)產品占比達60%，產能利用率滿載，訂單能見度延伸至2026年底。
ABF載板/IC載板,2,南電 (8046),前三大,台灣ABF載板產值亞軍，南亞集團企業。產品結構70%為BT載板與非長約ABF載板，ABF載板營收占比預估達55%，在800G交換器市場市占居高。,非長約比率高，最直接受益於此波ABF載板漲價循環。受惠AI伺服器與高階網通雙引擎拉動，2025年Q4 EPS達1.86元，獲利能力優於市場預期。外資目標價上看1050元。
ABF載板/IC載板,3,景碩 (3189),前三大,全球覆晶載板(FC-BGA)主要供應商，BT載板市占率全球最高之一，同時具備ABF載板生產能力，產品橫跨BT與ABF雙主線。,ABF三雄中唯一兼具BT+ABF雙產品線優勢，受惠記憶體需求與AI伺服器需求雙重拉動。2026年被視為獲利大躍進年，分析師普遍調升全年EPS預估。
ABF載板/IC載板,4,臻鼎-KY (4958),多元化PCB廠,全球PCB龍頭廠，產品線涵蓋HDI、軟板、硬板、載板等，近年積極布局高階載板市場，受惠於AI基礎設施需求成長。,規模優勢顯著，產品組合多元分散風險，在高階HDI與SLP(類載板)領域具備競爭力，客戶涵蓋蘋果等國際一線大廠。
ABF載板/IC載板,5,金像電 (2368),中小型廠,IC載板專業廠，主要產品為測試用IC載板與封裝用載板，應用於記憶體、邏輯IC等領域。,在記憶體測試載板市場具有一定地位，受惠於DDR5與HBM記憶體測試需求增加。
ABF載板/IC載板,6,楠梓電 (2316),中小型廠,IC載板與PCB製造商，產品包含FC-BGA載板、測試載板等，應用於通訊、消費性電子等領域。,在中階載板市場耕耘多年，具備穩定客戶基礎，受惠於整體載板需求回溫。
ABF載板/IC載板,7,定穎 (6251),中小型廠,HDI與載板製造商，主要產品為高階HDI板與IC載板，應用於智慧型手機、伺服器等領域。,在高階HDI與載板領域具備技術能力，受惠於AI伺服器與高階手機需求。
ABF載板/IC載板,8,志超 (8213),中小型廠,IC載板廠，主要產品為覆晶載板(FC-BGA)，應用於PC、網通、消費性電子等領域。,在中階FC-BGA載板市場有穩定出貨，受惠於PC與網通市場復甦。
ABF載板/IC載板,9,台光電 (2383),上游材料,銅箔基板(CCL)龍頭廠，為ABF載板上游關鍵材料供應商，產品應用於高階伺服器、AI運算等領域。,AI基板最大材料供應商，在前期推廣階段為主要選擇，降低量產風險。受惠於市場規模提升而營運持續成長，外資持續看好。
ABF載板/IC載板,10,聯茂 (6213),上游材料,高階CCL銅箔基板廠，產品應用於伺服器、網通、5G等高頻高速領域，為載板產業鏈上游關鍵供應商。,在高階CCL市場技術領先，受惠於AI伺服器與次世代HPC應用需求，營運周期重啟，2026年展望樂觀。股價表現強勁。
